date,hour,depth,value,variable,siteID
2021-01-01,0,0.05,NA,temperature,SUGG
2021-01-01,0,0.3,NA,temperature,SUGG
2021-01-01,0,0.55,NA,temperature,SUGG
2021-01-01,0,0.8,NA,temperature,SUGG
2021-01-01,0,1.05,NA,temperature,SUGG
2021-01-01,1,0.05,NA,temperature,SUGG
2021-01-01,1,0.3,NA,temperature,SUGG
2021-01-01,1,0.55,NA,temperature,SUGG
2021-01-01,1,0.8,NA,temperature,SUGG
2021-01-01,1,1.05,NA,temperature,SUGG
2021-01-01,1,0.05,NA,temperature,SUGG
2021-01-01,1,0.3,NA,temperature,SUGG
2021-01-01,1,0.55,NA,temperature,SUGG
2021-01-01,1,0.8,NA,temperature,SUGG
2021-01-01,1,1.05,NA,temperature,SUGG
2021-01-01,2,0.05,NA,temperature,SUGG
2021-01-01,2,0.3,NA,temperature,SUGG
2021-01-01,2,0.55,NA,temperature,SUGG
2021-01-01,2,0.8,NA,temperature,SUGG
2021-01-01,2,1.05,NA,temperature,SUGG
2021-01-01,2,0.05,NA,temperature,SUGG
2021-01-01,2,0.3,NA,temperature,SUGG
2021-01-01,2,0.55,NA,temperature,SUGG
2021-01-01,2,0.8,NA,temperature,SUGG
2021-01-01,2,1.05,NA,temperature,SUGG
2021-01-01,3,0.05,NA,temperature,SUGG
2021-01-01,3,0.3,NA,temperature,SUGG
2021-01-01,3,0.55,NA,temperature,SUGG
2021-01-01,3,0.8,NA,temperature,SUGG
2021-01-01,3,1.05,NA,temperature,SUGG
2021-01-01,3,0.05,NA,temperature,SUGG
2021-01-01,3,0.3,NA,temperature,SUGG
2021-01-01,3,0.55,NA,temperature,SUGG
2021-01-01,3,0.8,NA,temperature,SUGG
2021-01-01,3,1.05,NA,temperature,SUGG
2021-01-01,4,0.05,NA,temperature,SUGG
2021-01-01,4,0.3,NA,temperature,SUGG
2021-01-01,4,0.55,NA,temperature,SUGG
2021-01-01,4,0.8,NA,temperature,SUGG
2021-01-01,4,1.05,NA,temperature,SUGG
2021-01-01,4,0.05,NA,temperature,SUGG
2021-01-01,4,0.3,NA,temperature,SUGG
2021-01-01,4,0.55,NA,temperature,SUGG
2021-01-01,4,0.8,NA,temperature,SUGG
2021-01-01,4,1.05,NA,temperature,SUGG
2021-01-01,5,0.05,NA,temperature,SUGG
2021-01-01,5,0.3,NA,temperature,SUGG
2021-01-01,5,0.55,NA,temperature,SUGG
2021-01-01,5,0.8,NA,temperature,SUGG
2021-01-01,5,1.05,NA,temperature,SUGG
2021-01-01,5,0.05,NA,temperature,SUGG
2021-01-01,5,0.3,NA,temperature,SUGG
2021-01-01,5,0.55,NA,temperature,SUGG
2021-01-01,5,0.8,NA,temperature,SUGG
2021-01-01,5,1.05,NA,temperature,SUGG
2021-01-01,6,0.05,NA,temperature,SUGG
2021-01-01,6,0.3,NA,temperature,SUGG
