date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-13T00:00:00Z,9.7302,0.0663,9.6577,9.8138,9.94,0.5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,8.5503,0.0643,8.4697,8.625,8.348,2,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,5.7372,0.0697,5.6476,5.8306,5.73,3.5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,5.214,0.0689,5.1292,5.3081,5.223,5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.997,0.0621,4.9138,5.0712,5.01,6.5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.918,0.0592,4.8416,4.9885,4.91,8,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.8682,0.0562,4.7893,4.938,4.871,9.5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.8262,0.0593,4.7467,4.9066,4.805,11,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.7537,0.0519,4.6908,4.8195,4.757,12.5,temp,2021-04-20T00:00:00Z
2021-04-13T00:00:00Z,4.7204,0.056,4.6518,4.7912,4.737,14,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,8.9373,0.0709,8.8393,9.0258,8.994,0.5,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,8.8488,0.0666,8.7621,8.9369,9.173,2,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,6.6452,0.0701,6.5613,6.7291,6.274,3.5,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,5.2751,0.0693,5.1858,5.3604,5.298,5,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,5.0821,0.0604,5.0018,5.157,5.061,6.5,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,4.9566,0.0605,4.8827,5.0365,4.937,8,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,4.8096,0.0532,4.743,4.8705,4.844,9.5,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,4.79,0.043,4.7372,4.8464,4.79,11,temp,2021-04-20T00:00:00Z
2021-04-14T00:00:00Z,4.7906,0.0489,4.7329,4.8492,4.773,12.5,temp,2021-04-20T00:00:00Z
