date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-13T00:00:00Z,9.9273,1.3614,8.0977,11.7688,9.94,0.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,8.3596,1.3699,6.4543,9.926,8.348,2,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,5.7067,1.3878,3.8379,7.3664,5.73,3.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,5.1918,1.3917,3.3876,6.976,5.223,5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.9761,1.3874,3.1453,6.7528,5.01,6.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.8588,1.3943,3.0368,6.6435,4.91,8,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.8548,1.439,3.1026,6.7561,4.871,9.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.7637,1.4474,2.8446,6.6936,4.805,11,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.6894,1.4498,2.6056,6.4511,4.757,12.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.6553,1.4355,2.6773,6.5315,4.737,14,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.0042,0.0713,8.9132,9.109,8.994,0.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.1282,0.0682,9.0357,9.2256,9.173,2,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,6.3001,0.0693,6.2232,6.389,6.274,3.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.2979,0.0691,5.2267,5.3852,5.298,5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.0608,0.065,4.9731,5.1472,5.061,6.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,4.914,0.0665,4.8236,4.984,4.937,8,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,4.855,0.0526,4.7983,4.9262,4.844,9.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,4.8226,0.0483,4.7651,4.8904,4.79,11,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,4.7601,0.0535,4.6958,4.8281,4.773,12.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,4.7629,0.0608,4.6857,4.8255,4.769,14,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.4028,0.0651,8.3158,8.4831,8.4435,0.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.24,0.067,8.1521,8.3279,8.219,2,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,6.8372,0.0715,6.7458,6.9144,6.83,3.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,5.3674,0.0715,5.2767,5.4514,5.368,5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,5.1155,0.0592,5.0518,5.1882,5.141,6.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,4.9503,0.0485,4.8809,5.0125,4.914,8,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,4.8683,0.0506,4.8029,4.9289,4.829,9.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,4.8131,0.0418,4.7659,4.862,4.79,11,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,4.7398,0.0497,4.6826,4.8021,4.766,12.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,4.7362,0.0572,4.6613,4.8124,4.762,14,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.1193,0.0694,8.0392,8.1925,8.181,0.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,7.779,0.0674,7.6981,7.8678,7.86,2,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,6.8442,0.0565,6.7651,6.9154,6.704,3.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,5.5306,0.0666,5.4496,5.6024,5.496,5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,5.1448,0.0559,5.0804,5.2145,5.22,6.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,4.9707,0.0494,4.9112,5.0317,4.947,8,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,4.861,0.0479,4.7953,4.9243,4.859,9.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,4.8144,0.0419,4.7671,4.8693,4.788,11,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,4.7314,0.0499,4.6638,4.7937,4.779,12.5,temp,2021-05-30T00:00:00Z
