date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-13T00:00:00Z,10.331,1.2127,8.8361,11.8308,10.52,0,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,10.3458,1.1956,8.7104,11.7941,10.52,0.1,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,10.3557,1.2043,8.7506,11.672,10.513,0.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,10.3585,1.2189,8.795,11.8829,10.515,1,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,9.499,1.2227,7.9787,11.0704,9.63,2,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,6.2985,1.2282,4.7386,7.8177,6.4373,3,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,5.6746,1.2294,4.0293,7.1981,5.8163,4,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,5.3544,1.2029,3.7125,6.8757,5.483,5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,5.0637,1.2324,3.4799,6.5968,5.191,6,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,4.8267,1.219,3.1507,6.3728,4.944,7,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.2333,0.225,8.9538,9.5537,9.51,0,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.2128,0.206,8.9597,9.4924,9.51,0.1,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.1954,0.193,8.9367,9.4581,9.4984,0.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.1604,0.1826,8.9409,9.38,9.54,1,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,9.1117,0.1974,8.888,9.3902,8.475,2,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,7.3972,0.3173,7.0111,7.8077,6.615,3,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.8075,0.2489,5.5276,6.1118,5.866,4,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.3652,0.2324,5.07,5.6285,5.396,5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.1692,0.2359,4.8584,5.5004,5.119,6,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,5.0037,0.2659,4.6406,5.3747,4.983,7,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.7804,0.1863,8.5078,9.0051,8.915,0,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.7442,0.1824,8.4722,8.9467,8.915,0.1,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.7738,0.1858,8.5054,9.0084,8.9179,0.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.7218,0.1773,8.4865,8.9495,8.915,1,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,8.668,0.1744,8.4551,8.9098,8.87,2,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,7.4711,0.2779,7.1919,7.8039,6.455,3,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,5.8118,0.2719,5.4888,6.166,5.96,4,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.4062,0.1766,8.2061,8.6425,8.595,0,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.3851,0.1562,8.1881,8.5984,8.595,0.1,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.3484,0.1452,8.1514,8.5422,8.5766,0.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.3317,0.1499,8.1272,8.5375,8.59,1,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,8.263,0.1605,8.0694,8.4511,8.285,2,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,7.7802,0.215,7.4779,8.0317,6.845,3,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,6.1398,0.3075,5.7472,6.506,6,4,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,9.1612,0.2076,8.898,9.3936,9.04,0,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,9.1607,0.1905,8.9187,9.3821,9.04,0.1,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,9.1745,0.1858,8.9429,9.3879,9.0452,0.5,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,9.1727,0.2053,8.9163,9.4213,9.045,1,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,8.8495,0.2513,8.508,9.1692,9.025,2,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,7.4726,0.1955,7.2148,7.7044,7.39,3,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,6.2688,0.2579,5.9671,6.6179,6.445,4,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,9.7885,0.2067,9.5343,10.0582,9.805,0,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,9.7838,0.2004,9.5363,10.0538,9.805,0.1,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,9.7789,0.1815,9.551,10.008,9.7787,0.5,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,9.7547,0.197,9.4948,9.9814,9.71,1,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,8.9645,0.2139,8.6531,9.206,8.5,2,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,7.762,0.2194,7.5194,8.0631,7.715,3,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,6.279,0.2726,5.9498,6.654,6.635,4,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,10.5575,0.1781,10.3252,10.7837,10.585,0,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,10.569,0.1775,10.347,10.8167,10.585,0.1,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,10.5295,0.1816,10.2906,10.7517,10.5638,0.5,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,10.5162,0.1854,10.3073,10.733,10.5,1,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,9.9534,0.189,9.6902,10.214,9.185,2,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,8.3315,0.2259,8.0561,8.6095,8.56,3,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,6.6976,0.2324,6.4071,7.0153,6.975,4,temp,2021-05-30T00:00:00Z
2021-04-20T00:00:00Z,8.8111,0.1887,8.5908,9.0677,8.8,0,temp,2021-05-30T00:00:00Z
2021-04-20T00:00:00Z,8.794,0.1656,8.5836,9.0322,8.8,0.1,temp,2021-05-30T00:00:00Z
2021-04-20T00:00:00Z,8.7768,0.1635,8.5749,9.0245,8.8149,0.5,temp,2021-05-30T00:00:00Z
2021-04-20T00:00:00Z,8.75,0.1488,8.5557,8.9569,8.84,1,temp,2021-05-30T00:00:00Z
2021-04-20T00:00:00Z,8.7526,0.1576,8.5833,8.9569,8.845,2,temp,2021-05-30T00:00:00Z
