date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-05T00:00:00Z,5.593,0.2077,5.3143,5.8646,5.65,0,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.5788,0.1906,5.3223,5.8252,5.65,0.1,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.5523,0.1831,5.3217,5.7661,5.65,0.5,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.535,0.1832,5.3027,5.7658,5.65,1,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.4947,0.182,5.2544,5.7098,5.51,2,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.4056,0.176,5.1763,5.6375,5.28,3,temp,2021-04-25T00:00:00Z
2021-04-05T00:00:00Z,5.3241,0.1893,5.0781,5.5472,5.19,4,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.8862,0.1841,6.6564,7.1282,7.375,0,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.8873,0.1775,6.6451,7.0958,7.375,0.1,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.8215,0.1686,6.5919,7.0379,7.135,0.5,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.7553,0.1612,6.5424,6.9623,6.92,1,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.5456,0.1561,6.3516,6.7452,6.005,2,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,6.258,0.1756,6.0362,6.4747,5.64,3,temp,2021-04-25T00:00:00Z
2021-04-06T00:00:00Z,5.859,0.2097,5.5816,6.1267,5.5164,4,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,9.5886,0.2425,9.2604,9.9123,9.32,0,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,9.6006,0.229,9.314,9.9041,9.32,0.1,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,8.1909,0.1832,7.9538,8.4054,8.97,0.5,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,7.7826,0.1808,7.5455,8.0174,8.565,1,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,6.9251,0.2004,6.6899,7.1696,6.405,2,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,6.0844,0.2103,5.8137,6.3464,5.72,3,temp,2021-04-25T00:00:00Z
2021-04-07T00:00:00Z,5.5987,0.2457,5.2707,5.9035,5.39,4,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,12.1839,0.2097,11.9206,12.4647,13.15,0,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,12.0797,0.1929,11.8273,12.3207,13.15,0.1,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,11.904,0.1881,11.6644,12.1557,12.87,0.5,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,11.423,0.2003,11.156,11.6749,10.95,1,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,8.3938,0.2082,8.1352,8.6694,7.925,2,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,7.2456,0.2019,6.981,7.4785,6.23,3,temp,2021-04-25T00:00:00Z
2021-04-08T00:00:00Z,6.4215,0.2507,6.1343,6.7236,5.705,4,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,12.8887,0.2059,12.6277,13.1305,13.28,0,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,12.8652,0.1942,12.6212,13.0996,13.28,0.1,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,12.5751,0.2012,12.3201,12.8058,12.645,0.5,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,11.5047,0.2081,11.2526,11.756,11.865,1,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,8.2277,0.1788,8.0061,8.4327,8.1649,2,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,6.8365,0.1742,6.6129,7.0307,6.155,3,temp,2021-04-25T00:00:00Z
2021-04-09T00:00:00Z,5.8878,0.211,5.6118,6.1557,5.475,4,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,12.906,0.2138,12.595,13.1612,13.265,0,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,12.8443,0.1972,12.5427,13.071,13.265,0.1,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,12.7791,0.1967,12.5246,13.0155,13.115,0.5,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,12.7272,0.2038,12.4752,12.9616,12.74,1,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,8.0881,0.3245,7.7405,8.5469,7.74,2,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,7.1148,0.2221,6.8368,7.3809,6.9984,3,temp,2021-04-25T00:00:00Z
2021-04-10T00:00:00Z,6.2406,0.237,5.9544,6.533,5.72,4,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,12.2097,0.2065,11.9351,12.4707,12.385,0,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,12.1845,0.1841,11.9369,12.4086,12.385,0.1,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,12.1635,0.1847,11.908,12.3824,12.38,0.5,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,12.1124,0.1828,11.8589,12.334,11.985,1,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,7.8555,0.311,7.4714,8.2906,7.565,2,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,6.8297,0.1863,6.6035,7.0859,6.8658,3,temp,2021-04-25T00:00:00Z
2021-04-11T00:00:00Z,5.9361,0.2334,5.6427,6.2071,5.64,4,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,10.4519,0.187,10.2173,10.7147,10.28,0,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,10.4538,0.1727,10.2248,10.6812,10.28,0.1,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,10.474,0.1735,10.2443,10.7004,10.255,0.5,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,10.4863,0.1749,10.2726,10.7026,9.855,1,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,7.6171,0.2308,7.3208,7.9065,7.98,2,temp,2021-04-25T00:00:00Z
2021-04-12T00:00:00Z,6.3507,0.1967,6.1052,6.5982,6.6615,3,temp,2021-04-25T00:00:00Z
