date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-05T00:00:00Z,7.0962,0.2694,6.7685,7.441,6.996,0.1,temp,2021-04-24T00:00:00Z
2021-04-05T00:00:00Z,7.0966,0.2677,6.7609,7.4391,6.996,0.5,temp,2021-04-24T00:00:00Z
2021-04-06T00:00:00Z,8.5849,0.2624,8.2568,8.9157,8.6972,0.1,temp,2021-04-24T00:00:00Z
2021-04-06T00:00:00Z,8.5764,0.2548,8.2372,8.8984,8.6972,0.5,temp,2021-04-24T00:00:00Z
2021-04-07T00:00:00Z,8.3457,0.2538,8.0337,8.6668,8.4687,0.1,temp,2021-04-24T00:00:00Z
2021-04-07T00:00:00Z,8.3394,0.2592,8.0233,8.6469,8.4687,0.5,temp,2021-04-24T00:00:00Z
2021-04-08T00:00:00Z,8.0895,0.2662,7.7492,8.455,8.1561,0.1,temp,2021-04-24T00:00:00Z
2021-04-08T00:00:00Z,8.0766,0.2695,7.7299,8.4403,8.1561,0.5,temp,2021-04-24T00:00:00Z
2021-04-09T00:00:00Z,8.245,0.254,7.9445,8.5752,8.2877,0.1,temp,2021-04-24T00:00:00Z
2021-04-09T00:00:00Z,8.2539,0.2508,7.9566,8.5668,8.2877,0.5,temp,2021-04-24T00:00:00Z
2021-04-10T00:00:00Z,8.744,0.2731,8.3904,9.0853,8.9087,0.1,temp,2021-04-24T00:00:00Z
2021-04-10T00:00:00Z,8.7508,0.2801,8.3539,9.1155,8.9087,0.5,temp,2021-04-24T00:00:00Z
2021-04-11T00:00:00Z,10,0.2705,9.627,10.3504,10.2408,0.1,temp,2021-04-24T00:00:00Z
2021-04-11T00:00:00Z,9.9999,0.2645,9.6495,10.3367,10.2408,0.5,temp,2021-04-24T00:00:00Z
2021-04-12T00:00:00Z,8.6544,0.2646,8.2795,8.9935,8.6192,0.1,temp,2021-04-24T00:00:00Z
2021-04-12T00:00:00Z,8.6618,0.2662,8.2909,9.013,8.6192,0.5,temp,2021-04-24T00:00:00Z
2021-04-13T00:00:00Z,6.1984,0.2495,5.846,6.5001,6.3151,0.1,temp,2021-04-24T00:00:00Z
2021-04-13T00:00:00Z,6.2077,0.2582,5.8807,6.5501,6.3151,0.5,temp,2021-04-24T00:00:00Z
2021-04-14T00:00:00Z,3.8902,0.2511,3.5704,4.2073,4.1505,0.1,temp,2021-04-24T00:00:00Z
2021-04-14T00:00:00Z,3.8794,0.2575,3.5549,4.1982,4.1505,0.5,temp,2021-04-24T00:00:00Z
2021-04-15T00:00:00Z,3.3535,0.2823,2.964,3.7293,3.4725,0.1,temp,2021-04-24T00:00:00Z
2021-04-15T00:00:00Z,3.3413,0.2836,2.9911,3.7123,3.4725,0.5,temp,2021-04-24T00:00:00Z
2021-04-16T00:00:00Z,3.7267,0.3052,3.3398,4.0907,3.7598,0.1,temp,2021-04-24T00:00:00Z
2021-04-16T00:00:00Z,3.7303,0.3056,3.3116,4.1346,3.7598,0.5,temp,2021-04-24T00:00:00Z
2021-04-17T00:00:00Z,4.0603,0.2637,3.7362,4.4344,4.0282,0.1,temp,2021-04-24T00:00:00Z
2021-04-17T00:00:00Z,4.0628,0.2584,3.7036,4.4115,4.0282,0.5,temp,2021-04-24T00:00:00Z
2021-04-18T00:00:00Z,6.0262,0.2569,5.7016,6.3862,6.0558,0.1,temp,2021-04-24T00:00:00Z
2021-04-18T00:00:00Z,6.0328,0.2561,5.7268,6.3736,6.0558,0.5,temp,2021-04-24T00:00:00Z
2021-04-19T00:00:00Z,4.9433,0.2702,4.5994,5.2844,4.9824,0.1,temp,2021-04-24T00:00:00Z
2021-04-19T00:00:00Z,4.9473,0.2766,4.5949,5.3055,4.9824,0.5,temp,2021-04-24T00:00:00Z
2021-04-20T00:00:00Z,3.8458,0.2815,3.4817,4.1936,3.9603,0.1,temp,2021-04-24T00:00:00Z
2021-04-20T00:00:00Z,3.8523,0.2835,3.5073,4.1882,3.9603,0.5,temp,2021-04-24T00:00:00Z
2021-04-21T00:00:00Z,3.6281,0.2411,3.3326,3.9291,3.6615,0.1,temp,2021-04-24T00:00:00Z
2021-04-21T00:00:00Z,3.6269,0.2325,3.325,3.9126,3.6615,0.5,temp,2021-04-24T00:00:00Z
2021-04-21T00:00:00Z,3.6287,0.2251,3.3697,3.915,3.6615,1,temp,2021-04-24T00:00:00Z
2021-04-22T00:00:00Z,4.4855,0.2553,4.1591,4.8094,4.5082,0.1,temp,2021-04-24T00:00:00Z
2021-04-22T00:00:00Z,4.4792,0.2625,4.1478,4.8335,4.5082,0.5,temp,2021-04-24T00:00:00Z
2021-04-23T00:00:00Z,6.3308,0.2612,6.0042,6.6556,6.3139,0.1,temp,2021-04-24T00:00:00Z
2021-04-23T00:00:00Z,6.3188,0.2561,5.9913,6.6104,6.3139,0.5,temp,2021-04-24T00:00:00Z
2021-04-24T00:00:00Z,5.6055,0.2819,5.2235,5.9416,5.6798,0.1,temp,2021-04-24T00:00:00Z
2021-04-24T00:00:00Z,5.6136,0.2779,5.2318,5.957,5.6798,0.5,temp,2021-04-24T00:00:00Z
2021-04-25T00:00:00Z,7.8469,0.8991,6.7448,9.0243,6.9798,0.1,temp,2021-04-24T00:00:00Z
2021-04-25T00:00:00Z,7.8457,0.9028,6.6967,9.0876,6.9798,0.5,temp,2021-04-24T00:00:00Z
2021-04-26T00:00:00Z,6.5841,1.051,5.2363,7.8645,4.7399,0.1,temp,2021-04-24T00:00:00Z
2021-04-26T00:00:00Z,6.5879,1.0527,5.2063,7.924,4.7399,0.5,temp,2021-04-24T00:00:00Z
2021-04-27T00:00:00Z,6.4488,1.2161,4.788,7.8581,5.8843,0.1,temp,2021-04-24T00:00:00Z
2021-04-27T00:00:00Z,6.4549,1.2084,4.8933,7.8115,5.8843,0.5,temp,2021-04-24T00:00:00Z
2021-04-28T00:00:00Z,8.5056,1.4828,6.7218,10.4367,9.4294,0.1,temp,2021-04-24T00:00:00Z
2021-04-28T00:00:00Z,8.4996,1.4864,6.7246,10.449,9.4294,0.5,temp,2021-04-24T00:00:00Z
2021-04-29T00:00:00Z,10.5912,1.6284,8.6135,12.6633,9.1587,0.1,temp,2021-04-24T00:00:00Z
2021-04-29T00:00:00Z,10.5897,1.6246,8.6374,12.6834,9.1587,0.5,temp,2021-04-24T00:00:00Z
2021-04-30T00:00:00Z,11.7029,2.0012,9.0222,14.2446,10.349,0.1,temp,2021-04-24T00:00:00Z
2021-04-30T00:00:00Z,11.7102,1.9977,9.0049,14.1076,10.349,0.5,temp,2021-04-24T00:00:00Z
2021-05-01T00:00:00Z,12.9897,2.0194,10.4062,15.3916,10.4601,0.1,temp,2021-04-24T00:00:00Z
2021-05-01T00:00:00Z,12.9757,2.032,10.2476,15.3405,10.4601,0.5,temp,2021-04-24T00:00:00Z
2021-05-02T00:00:00Z,13.4937,2.0252,10.6091,16.1151,12.5817,0.1,temp,2021-04-24T00:00:00Z
2021-05-02T00:00:00Z,13.493,2.0247,10.6553,16.1062,12.5817,0.5,temp,2021-04-24T00:00:00Z
2021-05-03T00:00:00Z,13.4652,2.2976,10.2055,16.3299,11.4601,0.1,temp,2021-04-24T00:00:00Z
2021-05-03T00:00:00Z,13.4689,2.2986,10.2621,16.3571,11.4601,0.5,temp,2021-04-24T00:00:00Z
2021-05-04T00:00:00Z,13.2817,2.3734,10.2512,16.5256,11.398,0.1,temp,2021-04-24T00:00:00Z
2021-05-04T00:00:00Z,13.2782,2.3798,10.3342,16.5349,11.398,0.5,temp,2021-04-24T00:00:00Z
2021-05-05T00:00:00Z,13.104,2.5536,9.9234000000000009,16.3135,12.0212,0.1,temp,2021-04-24T00:00:00Z
2021-05-05T00:00:00Z,13.1094,2.5462,9.9408,16.2993,12.0212,0.5,temp,2021-04-24T00:00:00Z
