date,forecast_mean,forecast_sd,forecast_upper_95,forecast_lower_95,observed,depth,state,forecast_start_day
2021-04-13T00:00:00Z,22.2506,1.2591,20.7107,23.6387,22.15,0,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,22.2711,1.2674,20.6798,23.6554,22.15,0.1,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,22.19,1.2577,20.7578,23.6279,22.0767,0.5,temp,2021-05-30T00:00:00Z
2021-04-13T00:00:00Z,20.0805,1.2664,18.5705,21.4947,19.99,1,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,21.9097,0.0457,21.8537,21.964,21.895,0,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,21.9123,0.0457,21.8564,21.9651,21.895,0.1,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,22.7847,0.0754,22.6842,22.8726,23.0098,0.5,temp,2021-05-30T00:00:00Z
2021-04-14T00:00:00Z,20.5819,0.0646,20.5069,20.6632,20.39,1,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,22.126,0.051,22.0645,22.1896,22.095,0,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,22.1257,0.051,22.064,22.1899,22.095,0.1,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,21.924,0.0606,21.8567,22.002,22.3811,0.5,temp,2021-05-30T00:00:00Z
2021-04-15T00:00:00Z,20.3054,0.0431,20.2603,20.3573,20.28,1,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,22.2056,0.0296,22.166,22.2422,23.795,0,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,22.2032,0.0295,22.1643,22.2405,23.795,0.1,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,22.2022,0.0294,22.1625,22.2403,22.3386,0.5,temp,2021-05-30T00:00:00Z
2021-04-16T00:00:00Z,22.2012,0.0296,22.1608,22.2373,20.245,1,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,22.1803,0.0348,22.1336,22.2269,22.565,0,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,22.1788,0.0348,22.1309,22.2252,22.565,0.1,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,22.1789,0.0346,22.1333,22.226,22.4397,0.5,temp,2021-05-30T00:00:00Z
2021-04-17T00:00:00Z,22.1603,0.0355,22.1089,22.2071,20.705,1,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,23.0286,0.0296,22.9907,23.0664,22.695,0,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,23.0281,0.0296,22.9914,23.0661,22.695,0.1,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,22.2441,0.0253,22.2149,22.2743,22.3725,0.5,temp,2021-05-30T00:00:00Z
2021-04-18T00:00:00Z,21.5515,0.0404,21.5001,21.6022,20.49,1,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,22.0757,0.0262,22.0392,22.1114,22.99,0,temp,2021-05-30T00:00:00Z
2021-04-19T00:00:00Z,22.0766,0.0261,22.041,22.1111,22.99,0.1,temp,2021-05-30T00:00:00Z
